name,height,left,top,width,label
1.png,56,24,70,38,4
1.png,56,55,41,36,7
1.png,56,79,23,47,8
2.png,203,32,13,94,7
2.png,203,143,33,38,1
3.png,63,18,5,20,1
3.png,63,40,6,33,7
3.png,63,72,18,34,4
20.png,82,18,25,52,3
20.png,82,67,16,42,6
20.png,82,99,9,57,9
43.png,50,8,15,37,2
43.png,50,40,15,31,5
43.png,50,69,19,31,5
43.png,50,89,19,34,1
43.png,50,116,19,35,7
45.png,108,36,30,54,1
45.png,108,99,23,41,6
45.png,108,145,35,58,8
46.png,115,22,10,42,8
46.png,115,68,14,47,8
48.png,48,28,21,26,3
48.png,48,58,27,23,4
48.png,48,86,19,37,1
58.png,58,16,2,33,3
58.png,58,54,1,28,10
58.png,58,98,10,11,1
62.png,65,16,8,31,7
62.png,65,46,9,50,5
70.png,82,20,5,33,1
70.png,82,54,6,41,4
73.png,53,18,29,25,1
73.png,53,41,24,39,8
73.png,53,78,19,33,1
79.png,70,33,22,26,1
79.png,70,63,20,19,1
79.png,70,82,11,37,8
85.png,58,34,50,21,1
85.png,58,65,47,34,3
85.png,58,106,34,26,7
87.png,78,18,22,32,1
87.png,78,41,18,44,5
87.png,78,80,19,48,5
91.png,50,42,26,32,5
91.png,50,80,12,33,8
95.png,59,17,31,38,2
95.png,59,54,16,38,3
99.png,73,28,4,42,6
99.png,73,72,3,38,3
111.png,95,109,22,73,5
111.png,95,180,28,73,10
119.png,61,35,13,36,3
119.png,61,74,30,33,8
119.png,61,108,46,36,3
124.png,68,13,14,27,1
124.png,68,45,14,33,3
124.png,68,78,17,31,7
144.png,52,11,8,37,5
144.png,52,46,14,30,10
144.png,52,77,13,33,9
153.png,83,21,30,36,1
153.png,83,54,15,35,1
153.png,83,87,3,57,5
155.png,72,55,29,38,3
155.png,72,96,26,36,3
155.png,72,138,20,34,5
163.png,57,18,41,36,2
163.png,57,56,24,32,3
163.png,57,90,11,34,8
165.png,45,20,22,32,6
165.png,45,49,5,28,4
169.png,86,26,22,40,2
169.png,86,59,19,36,5
173.png,44,15,10,24,1
173.png,44,41,19,27,10
173.png,44,71,24,33,2
175.png,76,5,6,37,3
175.png,76,39,3,37,9
175.png,76,78,2,34,7
179.png,72,18,15,39,8
179.png,72,58,19,25,1
180.png,117,38,60,72,7
180.png,117,123,16,84,7
183.png,64,15,19,34,2
183.png,64,42,9,40,4
185.png,60,25,16,35,2
197.png,45,25,17,32,7
197.png,45,59,16,27,1
197.png,45,89,12,32,7
205.png,67,14,8,34,8
205.png,67,48,5,36,10
206.png,60,12,15,40,6
211.png,58,18,10,41,2
211.png,58,61,8,37,7
217.png,47,16,17,33,4
217.png,47,45,19,24,4
217.png,47,66,19,27,7
226.png,74,29,7,29,7
226.png,74,68,13,38,3
226.png,74,99,10,36,10
238.png,47,12,18,32,2
238.png,47,44,18,20,4
238.png,47,73,20,28,8
255.png,70,14,17,37,6
255.png,70,49,12,33,7
256.png,57,16,22,32,3
256.png,57,58,21,31,9
256.png,57,100,22,37,2
257.png,54,7,5,24,2
257.png,54,37,1,36,7
257.png,54,77,1,28,10
257.png,54,106,1,28,5
270.png,83,12,5,37,1
270.png,83,50,5,28,9
270.png,83,78,2,36,2
279.png,76,23,5,28,5
279.png,76,56,11,35,9
287.png,120,33,30,71,3
287.png,120,110,32,62,7
290.png,54,29,20,19,1
290.png,54,44,9,27,10
290.png,54,74,18,32,5
290.png,54,97,17,39,10
301.png,47,9,6,32,7
301.png,47,51,7,36,2
314.png,70,24,25,52,6
314.png,70,69,31,41,1
314.png,70,99,9,42,3
322.png,103,4,2,54,1
322.png,103,57,1,68,10
322.png,103,123,1,63,8
327.png,79,23,5,54,2
331.png,47,12,11,22,1
331.png,47,30,17,33,3
331.png,47,55,21,34,2
343.png,102,16,11,54,2
343.png,102,71,15,55,2
343.png,102,125,16,46,7
345.png,77,66,13,36,8
346.png,94,24,64,62,3
346.png,94,82,64,44,10
346.png,94,143,17,46,2
372.png,61,20,8,31,1
372.png,61,51,21,25,1
372.png,61,77,34,36,10
376.png,59,24,16,23,2
376.png,59,45,15,22,2
376.png,59,70,16,32,3
387.png,59,19,6,32,5
387.png,59,50,12,30,5
389.png,66,28,23,39,4
389.png,66,64,21,30,6
389.png,66,103,25,34,9
391.png,58,8,15,30,3
391.png,58,35,14,19,1
391.png,58,54,13,33,1
394.png,55,16,12,25,1
394.png,55,42,11,32,6
394.png,55,76,11,27,8
405.png,47,-1,13,28,2
405.png,47,27,9,30,5
405.png,47,55,6,32,5
409.png,50,35,28,50,7
409.png,50,53,60,43,2
413.png,61,61,17,39,4
413.png,61,91,11,37,9
423.png,58,15,3,30,3
423.png,58,44,1,32,5
425.png,57,12,18,45,3
425.png,57,54,18,45,2
425.png,57,98,19,44,2
427.png,67,22,19,32,3
427.png,67,58,15,32,6
427.png,67,88,15,31,6
429.png,61,18,15,41,2
429.png,61,49,19,33,10
429.png,61,77,24,33,10
429.png,61,101,29,38,10
435.png,66,19,25,32,3
435.png,66,58,15,29,6
444.png,48,29,16,38,5
444.png,48,70,10,30,9
444.png,48,104,2,29,6
